"ImageNumber","FileName_colorimage","AreaShape_Area","AreaShape_HuMoment_2","AreaShape_InertiaTensor_0_0","AreaShape_Solidity","Intensity_IntegratedIntensity_DNA","Intensity_IntegratedIntensity_H2AX","Intensity_MADIntensity_DNA","Intensity_MassDisplacement_DNA","Intensity_MassDisplacement_H2AX","Intensity_MassDisplacement_Ki67","Intensity_MaxIntensity_H2AX","Intensity_MinIntensityEdge_DNA","Intensity_MinIntensityEdge_H2AX","Intensity_MinIntensity_Ki67","Intensity_StdIntensityEdge_DNA","Intensity_StdIntensityEdge_Ki67","Intensity_StdIntensity_Ki67"
39,"Plate555926_WellC03_yH2AX_KI67_Seq0000_C03_0000_W1 - UV_FilterNuclei_26.png",1203,0.000582215,182.7380482,0.942051684,272.321576,57.76470693,0.03529413,0.264076338,0.077369916,1.280617777,0.06666667,0,0,0,0.048601375,0.016726307,0.027421761
40,"Plate555926_WellC03_yH2AX_KI67_Seq0000_C03_0000_W1 - UV_FilterNuclei_27.png",874,0.0003137,60.58519446,0.974358974,145.9960816,42.10196159,0.02352941,0.410631322,0.271922512,0.135697389,0.070588239,0,0,0,0.037184144,0.032479753,0.049753646
41,"Plate555926_WellC03_yH2AX_KI67_Seq0000_C03_0000_W1 - UV_FilterNuclei_30.png",2789,0.000462114,265.1615349,0.951227831,425.341187,127.7294146,0.035294116,1.640288179,0.325788559,0.792642624,0.074509807,0,0,0,0.0196411,0.007522997,0.00576612
42,"Plate555926_WellC03_yH2AX_KI67_Seq0000_C03_0000_W1 - UV_FilterNuclei_31.png",1289,0.00015436,100.3729787,0.973564955,193.8509841,47.29804024,0.039215684,0.626296128,0.046230265,0.312844886,0.05882353,0,0,0,0,0,0.017368969
43,"Plate555926_WellC03_yH2AX_KI67_Seq0000_C03_0000_W1 - UV_FilterNuclei_32.png",1896,0.00040235,171.0495769,0.952285284,392.0274602,91.72941333,0.027450979,1.034405789,0.357809915,0.852526776,0.070588239,0,0,0,0.059913111,0.020840577,0.009343989
44,"Plate555926_WellC03_yH2AX_KI67_Seq0000_C03_0000_W1 - UV_FilterNuclei_41.png",865,6.68e-05,53.01897959,0.96432553,151.8313758,41.552942,0.019607842,0.351485911,0.599559325,1.190287943,0.090196081,0,0,0,0.062023361,0.021224978,0.016080358
45,"Plate555926_WellC03_yH2AX_KI67_Seq0000_C03_0000_W1 - UV_FilterNuclei_45.png",1346,0.000363811,151.3195203,0.962115797,183.7294162,49.95686379,0.035294116,0.568389179,0.028217053,0.582729405,0.05882353,0,0,0,0,0,0.014051748
46,"Plate555926_WellC03_yH2AX_KI67_Seq0000_C03_0000_W1 - UV_FilterNuclei_47.png",770,0.000758771,55.65711587,0.850828729,213.0078486,34.98823606,0.078431368,0.838775991,0.225061122,2.11082553,0.070588239,0,0,0,0.057781346,0.063474696,0.074257303
47,"Plate555926_WellC03_yH2AX_KI67_Seq0000_C03_0000_W1 - UV_FilterNuclei_49.png",1806,0.000363075,172.0837764,0.949027851,380.1960886,94.67059049,0.054901958,1.17576477,1.978899792,2.337105499,0.168627456,0,0,0,0.057881159,0.031857324,0.05406983
48,"Plate555926_WellC03_yH2AX_KI67_Seq0000_C03_0000_W1 - UV_FilterNuclei_5.png",499,0.001542614,239.1798748,0.848639456,47.34117763,13.16078454,0.113725491,1.742747173,0.732177218,3.009113226,0.062745102,0,0,0,0,0,0.092528174
49,"Plate555926_WellC03_yH2AX_KI67_Seq0000_C03_0000_W1 - UV_FilterNuclei_51.png",907,0.000141516,56.25070717,0.966950959,144.988239,41.8823538,0.031372547,0.719327978,0.218595165,0.222275605,0.06666667,0,0,0,0.03573714,0.01395107,0.009800695
50,"Plate555926_WellC03_yH2AX_KI67_Seq0000_C03_0000_W1 - UV_FilterNuclei_55.png",953,0.000297381,99.15386436,0.964574899,205.921574,46.29019683,0.02941177,0.531927429,0.253589586,0.915313647,0.06666667,0,0,0,0.071823988,0.025221319,0.016109882
51,"Plate555926_WellC03_yH2AX_KI67_Seq0000_C03_0000_W1 - UV_FilterNuclei_56.png",1270,0.001087394,191.5473594,0.927007299,146.2196123,45.89411864,0.031372547,0.801793948,0.259420413,0.541285669,0.090196081,0,0,0,0,0,0.012679557
52,"Plate555926_WellC03_yH2AX_KI67_Seq0000_C03_0000_W1 - UV_FilterNuclei_57.png",1578,0.001570563,184.6461886,0.928781636,304.9882418,71.35294273,0.031372547,0.107925609,0.148116361,1.187909672,0.05882353,0,0,0,0.052882704,0.018488055,0.018577209
53,"Plate555926_WellC03_yH2AX_KI67_Seq0000_C03_0000_W1 - UV_FilterNuclei_58.png",1097,2.01e-05,120.6473975,0.976847729,197.8117687,63.99215848,0.02352941,0.61742192,0.749925349,0.600502467,0.125490203,0,0,0,0.03365496,0.015586368,0.014442153
